540_Names,Very_large,Large,Medium,Order,Full_Tree,PR_endemic,FLEPPCall_2017,NonNative,Full_Tree,Florida,USCan_notFL,Caribbean, Central_America,South_America,Europe ,Africa,Asia ,Australasia,Oceania
Bulbostylis_barbata,4,4,4,14,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
Bulbostylis_ciliatafolia,4,4,4,14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Bulbostylis_stenophylla,4,4,4,14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Bursera_simaruba,7,7,10,40,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Byrsonima_lucida,7,7,9,30,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Caesalpinia_pauciflora,7,7,9,28,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Cajanus_cajan,7,7,9,28,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Callicarpa_americana,6,6,8,24,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Callisia_fragrans,4,4,4,11,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Canavalia_brasiliensis,7,7,9,28,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
Capraria_biflora,6,6,8,24,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Cardiospermum_microcarpum,7,7,10,40,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Carica_papaya,7,7,10,36,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Cassytha_filiformis,3,3,3,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Catesbaea_parviflora,6,6,8,23,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Catharanthus_roseus,6,6,8,23,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Cecropia_palmata,7,7,9,32,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
Cenchrus_echinatus,4,4,4,14,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Cenchrus_gracillimus,4,4,4,14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Cenchrus_incertus,4,4,4,14,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Centella_asiatica,6,6,6,18,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Centrosema_virginianum,7,7,9,28,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Chamaecrista_deeringiana,7,7,9,28,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chamaecrista_fasciculata,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Chamaecrista_lineata,7,7,9,28,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Chamaecrista_nictitans_v._aspera,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Chamaesyce_blodgettii,7,7,9,30,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Chamaesyce_conferta,7,7,9,30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chamaesyce_deltoidea,7,7,9,30,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Chamaesyce_deltoidea_ssp._adhaerens,7,7,9,30,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Chamaesyce_deltoidea_ssp._pinetorum_F10,7,7,9,30,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Chamaesyce_garberi,7,7,9,30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chamaesyce_hyssopifolia,7,7,9,30,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Chamaesyce_lasiocarpa,7,7,9,30,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Chamaesyce_porteriana,7,7,9,30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Chaptalia_albicans,6,6,6,19,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Chiococca_alba,6,6,8,23,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Chiococca_parvifolia,6,6,8,23,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Chromolaena_odorata,6,6,6,19,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Chrysobalanus_icaco,7,7,9,30,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0
Chrysophyllum_oliviforme,6,6,7,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Chrysopogon_pauciflorus,4,4,4,14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Chrysopsis_linearifolia,6,6,6,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cirsium_horridulum,6,6,6,19,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Cissus_verticillata,7,7,9,34,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Citharexylum_spinosum,6,6,8,24,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Cladium_jamaicense,4,4,4,14,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Clematis_baldwinii,5,5,5,16,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Clitoria_mariana,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Clitoria_ternatea,7,7,9,28,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Cnidoscolus_stimulosus,7,7,9,30,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Coccoloba_uvifera,7,7,9,28,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Coccothrinax_argentata,4,4,4,9,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Colubrina_arborescens,7,7,9,32,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Colubrina_cubensis_v._floridana,7,7,9,32,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Commelina_diffusa,4,4,4,11,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Commelina_erecta,4,4,4,11,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Conocarpus_erectus,7,7,10,38,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Conoclinium_coelestinum,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Conyza_canadensis,6,6,6,19,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Cordia_bahamensis,6,6,8,22,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Coreopsis_leavenworthii,6,6,6,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cornutia_grandifolia,6,6,8,24,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
Crassocephalum_crepidioides,6,6,6,19,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
Crinum_americanum,4,4,4,10,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Crossopetalum_ilicifolium,7,7,9,26,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Crossopetalum_rhacoma,7,7,9,26,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Crotalaria_pulmila,7,7,9,28,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Crotalaria_rotundifolia,7,7,9,28,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Crotalaria_spectabilis,7,7,9,28,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Crotalaria_verrucosa,7,7,9,28,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
Croton_glandulosus,7,7,9,30,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
