Names,SoFla_endemic,PR_endemic,FLEPPCall_2017,Native,NonNative
Desmanthus_virgatus,0,0,0,1,0
Desmodium_floridanum,0,0,0,1,0
Desmodium_incanum_A02,0,0,0,1,0
Desmodium_lineatum,0,0,0,1,0
Desmodium_marilandicum,0,0,0,1,0
Desmodium_paniculatum,0,0,0,1,0
Desmodium_strictum,0,0,0,1,0
Desmodium_triflorum,0,0,0,0,1
Dichanthelium_aciculare,0,0,0,1,0
Dichanthelium_commutatum,0,0,0,1,0
Dichanthelium_dichotomum,0,0,0,1,0
Dichanthelium_ensifolium,0,0,0,1,0
Dichanthelium_ovale,0,0,0,1,0
Dichanthelium_portoricense,0,0,0,1,0
Dichanthelium_strigosum_v._glabrescens,0,0,0,1,0
Digitaria_ciliaris,0,0,0,1,0
Digitaria_filiformis_v._dolchophylla,0,0,0,1,0
Diodia_teres,0,0,0,1,0
Dioscorea_alata,0,0,1,0,1
Dioscorea_bulbifera,0,0,1,0,1
Dodonaea_elaeagnoides,0,0,0,1,0
Dodonaea_viscosa_v._angustifolia,0,0,0,1,0
Dyschoriste_angusta,0,0,0,1,0
Echites_umbellatus,0,0,0,1,0
Eleusine_indica,0,0,0,0,1
Elionurus_tripsacoides,0,0,0,1,0
Elytraria_caroliniensis_v._angustifolia,1,0,0,1,0
Emilia_fosbergii,0,0,0,0,1
Emilia_sonchifolia,0,0,0,0,1
Encyclia_tampensis,0,0,0,1,0
Eragrostis_elliottii,0,0,0,1,0
Erechtites_hieracifolia,0,0,0,1,0
Eremochloa_ophiuroides,0,0,0,0,1
Erigeron_quercifolius,0,0,0,1,0
Eriochloa_michauxii,0,0,0,1,0
Ernodea_cokeri,0,0,0,1,0
Ernodea_littoralis,0,0,0,1,0
Eryngium_baldwinii,0,0,0,1,0
Erythrina_herbacea,0,0,0,1,0
Eugenia_axillaris,0,0,0,1,0
Eugenia_uniflora,0,0,1,0,1
Eulophia_graminea,0,0,1,0,1
Eupatorium_capillifolium,0,0,0,1,0
Eupatorium_compositrofolium,0,0,0,1,0
Eupatorium_leptophyllum,0,0,0,1,0
Eupatorium_mikanioides,0,0,0,1,0
Eupatorium_mohrii,0,0,0,1,0
Eupatorium_serrotinum,0,0,0,1,0
Euphorbia_polyphylla,0,0,0,1,0
Eustachys_petraea,0,0,0,1,0
Evolvulus_sericeus,0,0,0,1,0
Exothea_paniculata,0,0,0,1,0
Ficus_altissima,0,0,1,0,1
Ficus_aurea,0,0,0,1,0
Ficus_citrifolia,0,0,0,1,0
Ficus_microcarpa,0,0,1,0,1
Fimbristylis_caroliniana,0,0,0,1,0
Fimbristylis_cymosa,0,0,0,0,1
Flacourtia_indica,0,0,1,0,1
Flavaria_linearis,0,0,0,1,0
Forestiera_segregata,0,0,0,1,0
Galactia_brachypoda,0,0,0,1,0
Galactia_floridana,0,0,0,1,0
Galactia_regularis,0,0,0,1,0
Galactia_smallii,1,1,0,1,0
Galactia_volubilis,0,0,0,1,0
Galium_hispidulum,0,0,0,1,0
Glandularia_maritima,0,0,0,1,0
Guaiacum_sanctum,0,0,0,1,0
Guapira_discolor,0,0,0,1,0
Guettarda_elliptica,0,0,0,1,0
Guettarda_scabra,0,0,0,1,0
Gymnopogon_ambiguus,0,0,0,1,0
Gymnopogon_brevifolius,0,0,0,1,0
Habenaria_quinqueseta,0,0,0,1,0
